ts,in_queue (size), in_queue (number)
1530634693.478782140,9084,5
1530634693.491722735,7636,6
1530634693.504501263,7636,6
1530634693.517219400,7636,6
1530634693.530067791,7636,6
1530634693.542904450,9150,7
1530634693.555697970,7636,6
1530634693.568322954,7570,5
1530634693.581241861,7570,5
1530634693.594132303,7570,5
1530634693.606899800,9084,5
1530634693.619708829,7570,4
1530634693.632506349,7570,4
1530634693.645198935,7570,4
1530634693.657829339,7570,4
1530634693.670509050,9084,5
1530634693.683378848,7570,5
1530634693.695908598,7570,5
1530634693.708469716,9084,5
1530634693.721183441,10598,5
1530634693.734007917,12112,5
1530634693.746676024,10598,4
1530634693.759345269,13626,5
1530634693.772012274,13626,5
1530634693.784915290,15140,5
1530634693.797655377,15140,5
1530634693.810396721,15140,5
1530634693.823149733,15140,5
1530634693.835944963,15140,5
1530634693.848668780,15140,5
1530634693.861260699,15140,5
1530634693.874097753,15140,5
1530634693.886906248,15140,5
1530634693.899770193,15140,5
1530634693.912320928,18168,6
1530634693.925171110,15140,5
1530634693.937901215,15140,5
1530634693.950582707,12112,4
1530634693.963406182,12112,4
1530634693.976268733,12112,4
1530634693.989030282,15140,5
1530634694.001846836,12112,4
1530634694.014611925,15140,5
1530634694.027480011,15140,5
1530634694.040137684,15140,5
1530634694.052762597,12112,4
1530634694.065549677,15140,5
1530634694.078340611,12112,4
1530634694.091240570,12112,4
1530634694.103855151,15140,5
1530634694.116655721,12112,4
1530634694.129333440,12112,4
1530634694.142100109,9084,3
1530634694.155020280,12112,4
1530634694.167630115,12112,4
1530634694.180422165,15140,5
1530634694.193063074,15140,5
1530634694.205810944,15140,5
1530634694.218713538,15140,5
1530634694.231640063,15140,5
1530634694.244421404,15206,6
1530634694.257025277,18234,7
1530634694.269800010,15206,6
1530634694.282622014,18234,7
1530634694.295288702,18234,7
1530634694.307956144,18234,7
1530634694.320682582,18234,7
1530634694.333301118,18234,7
1530634694.346129435,18234,7
1530634694.358892950,15140,5
1530634694.371689493,15140,5
1530634694.384303101,15140,5
1530634694.397042267,15140,5
1530634694.409750503,15140,5
1530634694.422579510,15140,5
1530634694.435358733,12112,4
1530634694.448073756,15140,5
1530634694.460860132,12112,4
1530634694.473453832,12112,4
1530634694.486189046,12112,4
1530634694.498856882,15140,5
1530634694.511712359,15140,5
1530634694.524415101,15140,5
1530634694.537387689,12112,4
1530634694.550145652,12112,4
1530634694.562874590,9084,3
1530634694.575654495,6056,2
1530634694.588222005,6056,2
1530634694.600819271,6056,2
1530634694.613743314,6056,2
1530634694.626638425,6056,2
1530634694.639333549,6056,2
1530634694.651983495,6056,2
1530634694.664656390,9084,3
1530634694.677214876,6056,2
1530634694.690102732,9084,3
1530634694.702824989,7570,3
1530634694.715622245,7570,3
1530634694.728315159,6056,3
1530634694.740891377,6056,3
1530634694.753798205,7570,4
1530634694.766659129,7570,5
1530634694.779478058,7570,5
1530634694.792222580,9084,5
1530634694.804885294,7570,4
1530634694.817514514,7570,3
1530634694.830193994,10664,5
1530634694.843180603,7636,4
1530634694.855791892,9150,5
1530634694.868548414,10664,6
1530634694.881256064,9084,4
1530634694.894163003,12112,5
1530634694.906918109,15140,6
1530634694.919698777,12112,5
1530634694.932506171,12112,5
1530634694.945178664,10598,4
1530634694.957931365,12112,5
1530634694.970771473,10598,5
1530634694.983641719,12112,6
1530634694.996400329,12112,6
1530634695.009165877,15140,7
1530634695.021812811,12112,6
1530634695.034714515,13626,6
1530634695.047562111,15140,6
1530634695.060438534,12112,4
1530634695.073167988,13626,5
1530634695.085946406,10598,4
1530634695.098648918,12112,5
1530634695.111555228,12112,5
1530634695.124128623,12112,5
1530634695.136972197,12112,5
1530634695.149593392,12112,5
1530634695.162458657,12112,5
1530634695.175394651,12112,5
1530634695.187991374,10598,4
1530634695.200695214,10598,4
1530634695.213263994,10598,4
1530634695.226018318,10598,4
1530634695.238864471,10598,4
1530634695.251558342,13626,5
1530634695.264340104,10598,4
1530634695.277224448,12112,4
1530634695.290020775,12112,4
1530634695.302803737,12112,4
1530634695.315717902,10598,4
1530634695.328656132,13626,5
1530634695.341245863,10598,4
1530634695.353798712,13626,5
1530634695.366612125,12112,5
1530634695.379560698,15140,6
1530634695.392323766,12112,5
1530634695.405019924,10598,4
1530634695.417811148,10598,4
1530634695.430648367,7570,3
1530634695.443312853,9084,3
1530634695.455964023,12112,4
1530634695.468619438,9084,3
1530634695.481287175,12112,4
1530634695.494097647,9084,3
1530634695.507005537,9084,3
1530634695.519741544,9150,4
1530634695.532581709,9150,4
1530634695.545284349,9150,4
1530634695.557998148,9150,4
1530634695.570863607,12178,5
1530634695.583594003,9150,4
1530634695.596343055,12178,5
1530634695.609095949,9084,3
1530634695.621667325,9084,3
1530634695.634414328,6056,2
1530634695.647161842,6056,2
1530634695.660011281,6056,2
1530634695.672824666,6056,2
1530634695.685700886,6056,2
1530634695.698560730,9084,3
1530634695.711450042,6056,2
1530634695.724035721,9084,3
1530634695.736943576,9084,3
1530634695.749714041,9084,3
1530634695.762433268,7570,3
1530634695.775231685,6056,3
1530634695.788105752,7570,4
1530634695.800983008,6056,4
1530634695.813854630,6056,4
1530634695.826679461,6056,4
1530634695.839482945,7570,5
1530634695.852276943,7570,5
1530634695.865200040,7570,5
1530634695.877852380,7570,5
1530634695.890701169,7570,5
1530634695.903511792,7570,5
1530634695.916091691,7570,5
1530634695.928856259,7570,5
1530634695.941651800,9084,5
1530634695.954474644,10598,5
1530634695.967268456,9084,4
1530634695.979931057,12112,5
1530634695.992853836,10598,5
1530634696.005711187,9084,4
