ts,backlog in bytes, backlog in packets
1529798312.487003773,660b,10p
1529798312.499743533,594b,9p
1529798312.512244409,528b,8p
1529798312.524695738,594b,9p
1529798312.537251379,594b,9p
1529798312.549682166,594b,9p
1529798312.562216006,660b,10p
1529798312.574840557,594b,9p
1529798312.587463319,594b,9p
1529798312.600094552,594b,9p
1529798312.612722542,594b,9p
1529798312.625337898,594b,9p
1529798312.637838121,594b,9p
1529798312.650448598,660b,10p
1529798312.662897233,660b,10p
1529798312.675633875,594b,9p
1529798312.688162979,594b,9p
1529798312.700552445,594b,9p
1529798312.713136412,660b,10p
1529798312.725760854,660b,10p
1529798312.738367702,594b,9p
1529798312.750870971,594b,9p
1529798312.763572166,594b,9p
1529798312.776207356,660b,10p
1529798312.788670672,594b,9p
1529798312.801264449,528b,8p
1529798312.813660704,660b,10p
1529798312.826321722,726b,11p
1529798312.838959135,594b,9p
1529798312.851851924,594b,9p
1529798312.864383363,660b,10p
1529798312.876806934,594b,9p
1529798312.889236169,792b,12p
1529798312.901818835,594b,9p
1529798312.914453922,594b,9p
1529798312.927150578,594b,9p
1529798312.939698962,726b,11p
1529798312.952251366,594b,9p
1529798312.964741324,528b,8p
1529798312.977131689,594b,9p
1529798312.989566472,594b,9p
1529798313.001992394,660b,10p
1529798313.014633470,660b,10p
1529798313.027230989,594b,9p
1529798313.039970888,660b,10p
1529798313.052443656,594b,9p
1529798313.065145568,660b,10p
1529798313.077735616,660b,10p
1529798313.090524387,594b,9p
1529798313.103237632,594b,9p
1529798313.115794906,594b,9p
1529798313.128410209,594b,9p
1529798313.141093841,726b,11p
1529798313.153734377,594b,9p
1529798313.166467501,594b,9p
1529798313.179007399,594b,9p
1529798313.191633352,726b,11p
1529798313.204155328,594b,9p
1529798313.216669957,594b,9p
