ts,in_queue (size), in_queue (number)
1530632205.769055740,13626,9
1530632205.781695937,13626,9
1530632205.794421659,13626,9
1530632205.807257551,12112,8
1530632205.819976417,13626,9
1530632205.832938743,13626,9
1530632205.845852054,13626,9
1530632205.858646201,13626,9
1530632205.871575856,15140,9
1530632205.884351292,13626,8
1530632205.897077545,13626,8
1530632205.909759031,13626,8
1530632205.922675963,12112,7
1530632205.935475248,12112,7
1530632205.948418634,12112,7
1530632205.961195297,12112,7
1530632205.974035351,12112,7
1530632205.986784693,15140,9
1530632205.999656303,13626,9
1530632206.012273079,13626,9
1530632206.025141627,12112,8
1530632206.037830328,12112,8
1530632206.050641964,12112,8
1530632206.063357653,12112,8
1530632206.076039824,12112,8
1530632206.088750006,13626,9
1530632206.101636116,13626,9
1530632206.114519367,13626,9
1530632206.127349428,13626,9
1530632206.139977303,13626,9
1530632206.152587314,13626,9
1530632206.165445040,13626,9
1530632206.178239333,12112,8
1530632206.191039555,13626,8
1530632206.203802755,15140,8
1530632206.216467219,16654,8
1530632206.229246204,15140,7
1530632206.241901537,13626,6
1530632206.254733246,13626,6
1530632206.267567636,12112,5
1530632206.280436848,12112,5
1530632206.293143604,12112,6
1530632206.305902799,13626,7
1530632206.318803095,12112,7
1530632206.331546130,13626,8
1530632206.344260565,12112,8
1530632206.357020374,12112,8
1530632206.369647174,12112,8
1530632206.382403921,12112,8
1530632206.395258042,12112,8
1530632206.407911921,12112,8
1530632206.420594884,12112,8
1530632206.433224500,13626,9
1530632206.445947245,12112,8
1530632206.458719540,13626,9
1530632206.471424935,13626,9
1530632206.484217817,13626,9
1530632206.496945404,13626,9
1530632206.509784119,12112,8
1530632206.522609420,12112,8
1530632206.535460664,12112,8
1530632206.548177864,13626,8
1530632206.560868733,15140,8
1530632206.573754656,16654,8
1530632206.586634017,15140,7
1530632206.599630656,13626,6
1530632206.612390392,13626,6
1530632206.625085846,13626,6
1530632206.637774314,12112,5
1530632206.650743850,15140,7
1530632206.663675721,13626,7
1530632206.676384002,15140,8
1530632206.689042356,13626,8
1530632206.701842350,15140,9
1530632206.714526921,13626,9
1530632206.727300407,15140,10
1530632206.740033475,13626,9
1530632206.752760305,13626,9
1530632206.765681146,13626,9
1530632206.778525480,13626,9
1530632206.791586616,13626,9
1530632206.804579437,13626,9
1530632206.817367382,13626,9
1530632206.830291834,13626,9
1530632206.843285345,15140,10
1530632206.856097792,15140,10
1530632206.868951370,15140,10
1530632206.881807068,15140,10
1530632206.894591569,15140,10
1530632206.907620233,15140,10
1530632206.920353875,18168,11
1530632206.933280916,15140,9
1530632206.946031233,16654,9
1530632206.958813222,16654,9
1530632206.971719530,15140,8
1530632206.984405509,15140,8
1530632206.997297541,15140,8
1530632207.010184903,13626,7
1530632207.022950241,13626,7
1530632207.035723970,15140,8
1530632207.048572242,13626,8
1530632207.061438210,13626,8
1530632207.074282472,15140,9
1530632207.087064019,13626,9
1530632207.099827159,13626,9
1530632207.112588938,15140,10
1530632207.125236231,15140,10
1530632207.138083359,15140,10
1530632207.150942798,15140,10
1530632207.163676033,13626,9
1530632207.176519366,13626,9
1530632207.189451448,13626,9
1530632207.202234395,13626,9
1530632207.215011247,16654,10
1530632207.227809893,15140,9
1530632207.240488950,16654,9
1530632207.253277464,18168,9
1530632207.266138937,16654,8
1530632207.278870269,16654,8
1530632207.291712564,15140,7
1530632207.304585093,15140,7
1530632207.317407921,15140,7
1530632207.330153119,15140,7
1530632207.343097131,15140,7
1530632207.355976333,13626,7
1530632207.368735985,15140,8
1530632207.381602810,13626,8
1530632207.394388864,12112,8
1530632207.407217868,12112,8
1530632207.419934405,13626,9
1530632207.432823206,13626,9
1530632207.445691511,13626,9
1530632207.458708930,13626,9
1530632207.471588632,13626,9
1530632207.484535405,13626,9
1530632207.497263791,15140,10
1530632207.510093688,16654,10
1530632207.522884907,15140,9
1530632207.535624495,18168,10
1530632207.548392792,16654,9
1530632207.561138553,15140,8
1530632207.573952708,15140,8
1530632207.586856581,15140,8
